index,value
641,0
496,1
744,0
325,1
490,1
459,1
350,1
350,1
28,0
675,0
632,0
62,0
383,0
347,1
320,1
566,0
127,0
349,1
466,1
730,0
130,1
203,0
489,1
569,1
552,1
717,0
374,1
329,1
520,1
346,1
490,1
547,1
2,0
365,0
450,0
124,0
475,0
444,0
329,0
652,0
574,1
672,0
686,1
296,1
576,1
381,1
210,1
12,0
632,1
188,1
756,0
732,0
644,0
433,1
515,0
235,1
40,0
640,0
20,0
341,0
356,1
184,0
747,0
667,0
163,0
303,1
115,0
371,0
369,1
230,0
577,1
76,0
438,0
319,1
175,0
630,1
95,0
684,1
600,1
214,1
549,1
12,0
627,1
273,0
350,0
174,0
41,0
140,0
526,1
323,0
459,1
258,0
205,1
352,1
181,1
260,0
209,0
163,0
565,0
627,1
135,0
603,1
71,0
666,0
265,1
197,0
409,1
419,0
281,0
666,0
444,0
513,0
367,0
627,1
295,1
42,0
689,0
111,0
310,0
520,1
280,0
429,0
333,0
84,0
531,0
183,1
401,1
350,1
260,0
486,1
342,0
496,1
183,1
161,0
3,0
134,0
321,1
639,0
321,1
327,1
753,0
600,0
203,0
569,1
683,0
547,1
653,1
93,0
49,0
467,1
74,0
613,0
179,0
325,1
325,1
200,0
466,0
398,0
297,1
395,0
299,0
600,1
290,1
765,0
380,1
666,0
514,1
460,1
516,1
573,1
264,1
572,1
32,0
259,0
67,0
349,1
8,0
500,0
487,0
578,1
488,0
27,0
569,1
240,1
734,0
683,1
441,1
180,1
773,0
208,1
57,0
120,0
494,1
606,0
346,1
340,0
690,1
485,1
456,0
520,1
237,1
598,1
164,1
329,1
125,1
649,0
234,1
44,0
173,0
443,1
234,1
186,1
470,0
300,1
559,0
216,1
155,1
458,1
294,0
449,0
611,1
578,1
672,0
161,0
354,1
492,1
184,0
49,0
272,0
176,0
476,0
594,0
393,0
158,1
262,1
206,1
444,0
328,1
461,1
700,0
408,1
140,0
481,1
37,0
58,0
246,1
245,1
462,1
154,1
359,1
103,0
459,0
483,0
523,1
626,1
175,0
464,1
79,0
435,1
510,1
379,0
465,1
210,0
438,1
753,0
265,1
153,1
680,0
351,1
626,1
240,1
763,0
231,0
680,0
185,1
187,1
657,1
571,1
695,0
327,1
383,1
323,1
17,0
598,1
322,1
598,0
768,0
80,0
743,1
403,1
267,1
17,0
325,1
483,1
106,0
396,0
187,1
257,0
240,1
184,0
137,0
296,1
493,1
653,1
137,0
518,1
347,1
566,0
329,1
487,1
466,0
514,1
262,1
288,0
323,0
123,0
352,1
9,0
772,0
707,0
182,1
494,1
107,0
98,1
630,1
702,0
673,0
572,1
262,1
287,0
557,0
354,1
710,0
435,1
152,1
638,0
252,0
489,0
59,0
210,1
332,0
399,0
42,0
240,0
429,1
668,0
773,0
68,0
657,1
355,1
381,1
703,0
146,0
601,1
261,1
267,1
206,1
82,0
488,0
361,0
582,1
158,1
411,1
382,1
329,0
426,0
545,1
91,0
629,1
405,1
378,1
127,0
631,1
560,0
644,0
407,1
157,1
174,0
716,0
568,0
716,0
762,0
432,1
110,0
351,1
324,1
604,1
730,0
404,1
317,1
263,1
74,0
277,0
766,0
221,0
414,1
577,1
324,1
154,1
669,0
408,1
760,0
574,1
548,1
243,1
128,1
157,0
28,0
94,0
77,0
527,1
365,0
657,1
177,0
352,1
358,1
732,0
129,0
752,0
378,1
519,1
288,0
783,0
379,1
327,0
389,0
301,1
386,1
520,1
159,1
423,0
146,0
610,1
627,1
301,0
688,0
714,1
244,1
688,1
354,1
154,1
404,1
78,0
211,0
320,0
586,0
315,1
322,1
220,0
408,1
393,0
156,1
539,1
514,0
756,0
186,1
487,1
623,1
537,0
466,1
404,0
574,1
599,1
236,0
714,0
284,0
719,0
226,0
89,0
407,1
398,0
306,0
205,1
129,1
412,0
562,0
125,0
157,1
463,1
75,0
704,0
519,1
237,1
46,0
209,1
574,1
330,0
483,0
496,1
403,0
768,0
217,1
455,0
487,1
192,0
382,1
478,0
239,1
236,1
281,0
444,0
567,0
658,1
351,1
441,1
587,0
263,0
599,1
240,1
677,1
184,1
149,0
178,1
272,1
419,0
62,0
208,1
384,1
30,0
682,0
715,1
262,1
414,0
555,0
414,1
241,1
629,1
40,0
9,0
176,0
121,0
457,1
436,1
81,0
309,0
53,0
693,0
582,0
159,1
575,1
707,1
618,0
450,0
777,0
413,1
246,1
94,1
402,1
469,1
188,1
438,1
365,0
596,1
541,1
147,0
50,0
573,1
701,0
487,1
200,0
187,1
467,1
126,0
385,1
364,0
115,0
531,0
307,0
392,0
221,0
99,0
382,1
153,1
27,0
443,0
698,0
209,0
214,1
263,1
431,1
492,1
296,1
487,1
29,0
66,0
607,0
282,0
253,0
152,1
406,1
648,0
289,1
486,1
611,0
594,0
594,0
65,0
348,1
44,1
312,0
714,1
454,0
543,1
343,0
506,0
83,0
564,0
